Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Shkodran Mustafi,3,0,26,31,2611,2.0,2.0,0.0,9.0,0.0,1.5,1.5,0.6
Pierre-Emerick Aubameyang,1,0,29,30,2726,22.0,18.0,5.0,0.0,0.0,22.6,18.5,4.2
Granit Xhaka,2,0,25,29,2498,4.0,4.0,2.0,10.0,0.0,2.0,2.0,3.4
Alexandre Lacazette,1,0,27,27,2502,13.0,13.0,8.0,2.0,0.0,11.7,11.7,3.7
Sokratis Papastathopoulos,3,0,30,25,2198,1.0,1.0,2.0,12.0,0.0,0.8,0.8,0.7
Lucas Torreira,2,0,22,24,2382,2.0,2.0,2.0,7.0,1.0,1.5,1.5,1.2
Mattéo Guendouzi,2,0,19,23,2149,0.0,0.0,0.0,9.0,0.0,0.6,0.6,1.8
Alex Iwobi,1,0,22,22,1970,3.0,3.0,6.0,0.0,0.0,3.5,3.5,7.0
Sead Kolašinac,3,0,25,22,1887,0.0,0.0,5.0,5.0,0.0,0.4,0.4,6.0
Nacho Monreal,3,0,32,21,1861,1.0,1.0,3.0,5.0,0.0,1.3,1.3,1.7
Mesut Özil,2,0,29,20,1735,5.0,5.0,2.0,2.0,0.0,1.7,1.7,4.1
Henrikh Mkhitaryan,1,0,29,19,1641,6.0,6.0,4.0,1.0,0.0,5.0,5.0,6.2
Héctor Bellerín,3,0,23,18,1533,0.0,0.0,5.0,3.0,0.0,0.9,0.9,2.2
Aaron Ramsey,2,0,27,14,1331,4.0,4.0,6.0,0.0,0.0,3.4,3.4,2.0
Laurent Koscielny,3,0,32,13,1331,3.0,3.0,0.0,1.0,0.0,1.4,1.4,0.2
Ainsley Maitland-Niles,3,0,20,11,987,1.0,1.0,1.0,2.0,1.0,0.9,0.9,0.9
Stephan Lichtsteiner,3,0,34,10,938,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1
Rob Holding,3,0,22,9,807,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2
Mohamed Elneny,2,0,26,5,380,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2
Konstantinos Mavropanos,3,0,20,3,148,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3
Carl Jenkinson,3,0,26,2,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Welbeck,1,0,27,1,153,1.0,1.0,1.0,0.0,0.0,0.8,0.8,0.3
Joe Willock,2,0,18,1,64,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
Denis Suárez,2,0,24,0,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eddie Nketiah,2,0,19,0,67,1.0,1.0,0.0,0.0,0.0,0.2,0.2,0.1
Bukayo Saka,1,0,16,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Aké,3,2,23,38,3411,4.0,4.0,0.0,3.0,0.0,3.4,3.4,1.0
Ryan Fraser,2,2,24,35,3166,7.0,7.0,14.0,2.0,0.0,4.7,4.7,13.4
Joshua King,1,2,26,34,2961,12.0,7.0,3.0,3.0,0.0,13.5,8.7,3.8
Steve Cook,3,2,27,31,2786,1.0,1.0,1.0,3.0,0.0,1.3,1.3,0.9
Callum Wilson,1,2,26,29,2528,14.0,13.0,9.0,3.0,0.0,13.4,11.9,5.4
Jefferson Lerma,2,2,23,29,2506,2.0,2.0,0.0,12.0,0.0,1.3,1.3,1.1
David Brooks,2,2,21,29,2261,7.0,7.0,5.0,3.0,0.0,6.0,6.0,5.0
Adam Smith,3,2,27,25,2066,1.0,1.0,1.0,5.0,1.0,0.5,0.5,0.6
Dan Gosling,2,2,28,19,1739,2.0,2.0,1.0,8.0,0.0,1.9,1.9,1.5
Charlie Daniels,3,2,31,17,1585,1.0,1.0,0.0,4.0,0.0,0.4,0.4,0.6
Andrew Surman,2,2,31,16,1439,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.4
Simon Francis,3,2,33,13,1229,0.0,0.0,2.0,1.0,0.0,0.1,0.1,0.6
Nathaniel Clyne,3,2,27,13,1143,0.0,0.0,1.0,2.0,0.0,0.1,0.1,0.1
Junior Stanislas,2,2,28,11,1031,2.0,1.0,3.0,1.0,0.0,3.1,2.3,2.0
Chris Mepham,3,2,20,10,850,0.0,0.0,1.0,1.0,0.0,0.1,0.1,0.5
Jordon Ibe,2,2,22,9,797,1.0,1.0,1.0,1.0,0.0,0.8,0.8,0.6
Lewis Cook,2,2,21,8,723,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1
Diego Rico,3,2,25,5,612,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.1
Jack Simpson,3,2,21,4,403,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
Dominic Solanke,1,2,20,2,347,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.4
Tyrone Mings,3,2,25,2,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Lys Mousset,1,2,22,1,368,1.0,1.0,0.0,1.0,0.0,1.4,1.4,0.3
Emerson Hyndman,2,2,22,0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jermain Defoe,1,2,35,0,25,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
Sam Surridge,2,2,20,0,13,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0
Lewis Dunk,3,4,26,36,3151,2.0,2.0,1.0,6.0,1.0,1.8,1.8,0.8
Shane Duffy,3,4,26,35,3087,5.0,5.0,1.0,4.0,1.0,3.1,3.1,0.3
Davy Pröpper,2,4,26,30,2546,1.0,1.0,1.0,2.0,0.0,0.9,0.9,1.3
Glenn Murray,1,4,34,30,2508,13.0,9.0,1.0,5.0,0.0,11.4,8.1,1.3
Solly March,1,4,24,30,2463,1.0,1.0,5.0,1.0,0.0,2.5,2.5,4.3
