Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Pierre-Emerick Aubameyang,FW,Arsenal,30.0,35,"3,136",22.0,20.0,3.0,3.0,1.0,14.7,13.2,3.3
David Luiz,DF,Arsenal,32.0,32,"2,809",2.0,2.0,1.0,5.0,2.0,1.6,1.6,0.9
Bernd Leno,GK,Arsenal,27.0,30,"2,649",0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Granit Xhaka,MF,Arsenal,26.0,30,"2,586",1.0,1.0,2.0,10.0,0.0,0.5,0.5,1.0
Nicolas Pépé,FW,Arsenal,24.0,22,"2,010",5.0,4.0,6.0,4.0,0.0,4.9,4.1,4.8
Alexandre Lacazette,FW,Arsenal,28.0,22,"1,874",10.0,10.0,4.0,8.0,0.0,8.1,8.1,2.9
Bukayo Saka,"DF,FW",Arsenal,17.0,19,"1,753",1.0,1.0,5.0,6.0,0.0,1.0,1.0,3.3
Mattéo Guendouzi,MF,Arsenal,20.0,19,"1,748",0.0,0.0,1.0,6.0,0.0,0.8,0.8,1.1
Sead Kolašinac,DF,Arsenal,26.0,19,"1,701",0.0,0.0,2.0,4.0,0.0,0.4,0.4,1.3
Sokratis Papastathopoulos,DF,Arsenal,31.0,19,"1,696",2.0,2.0,0.0,6.0,0.0,1.1,1.1,0.3
Dani Ceballos,MF,Arsenal,22.0,18,"1,692",0.0,0.0,2.0,1.0,0.0,0.6,0.6,1.8
Mesut Özil,MF,Arsenal,30.0,18,"1,438",1.0,1.0,2.0,1.0,0.0,1.4,1.4,2.3
Lucas Torreira,MF,Arsenal,23.0,17,"1,512",1.0,1.0,1.0,7.0,0.0,1.4,1.4,0.8
Ainsley Maitland-Niles,DF,Arsenal,21.0,15,"1,386",0.0,0.0,2.0,6.0,1.0,0.4,0.4,1.5
Shkodran Mustafi,DF,Arsenal,27.0,13,"1,207",0.0,0.0,1.0,2.0,0.0,0.9,0.9,0.4
Héctor Bellerín,"DF,MF",Arsenal,24.0,13,"1,158",1.0,1.0,0.0,2.0,0.0,0.4,0.4,0.4
Calum Chambers,DF,Arsenal,24.0,13,"1,102",1.0,1.0,1.0,5.0,0.0,0.8,0.8,1.6
Kieran Tierney,"DF,MF",Arsenal,22.0,12,989,1.0,1.0,1.0,2.0,0.0,0.2,0.2,1.0
Joe Willock,"MF,FW",Arsenal,19.0,8,857,1.0,1.0,1.0,2.0,0.0,1.6,1.6,1.1
Emiliano Martínez,GK,Arsenal,26.0,8,771,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Eddie Nketiah,FW,Arsenal,20.0,7,633,2.0,2.0,0.0,0.0,1.0,3.1,3.1,0.6
Reiss Nelson,FW,Arsenal,19.0,7,631,1.0,1.0,0.0,1.0,0.0,0.9,0.9,0.4
Martinelli,FW,Arsenal,18.0,6,663,3.0,3.0,0.0,1.0,0.0,2.2,2.2,0.1
Rob Holding,DF,Arsenal,23.0,6,581,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0
Nacho Monreal,DF,Arsenal,33.0,3,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Cédric Soares,"MF,DF",Arsenal,27.0,3,249,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pablo Marí,DF,Arsenal,25.0,2,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henrikh Mkhitaryan,FW,Arsenal,30.0,1,112,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.3
Emile Smith Rowe,MF,Arsenal,19.0,1,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Grealish,"FW,MF",Aston Villa,23.0,36,"3,233",8.0,8.0,6.0,8.0,0.0,6.8,6.0,7.4
Tyrone Mings,DF,Aston Villa,26.0,33,"2,902",2.0,2.0,2.0,7.0,0.0,0.8,0.8,0.7
Douglas Luiz,MF,Aston Villa,21.0,28,"2,612",3.0,3.0,2.0,8.0,0.0,2.6,2.6,1.7
John McGinn,MF,Aston Villa,24.0,27,"2,312",3.0,3.0,3.0,3.0,0.0,3.9,3.9,2.5
Matt Targett,"DF,MF",Aston Villa,23.0,27,"2,291",1.0,1.0,2.0,4.0,0.0,0.4,0.4,2.6
Anwar El Ghazi,"FW,MF",Aston Villa,24.0,26,"2,051",4.0,3.0,4.0,3.0,0.0,6.2,5.4,2.7
Ezri Konsa,DF,Aston Villa,21.0,24,"2,039",1.0,1.0,2.0,3.0,0.0,1.5,1.5,1.0
Frederic Guilbert,"DF,MF",Aston Villa,24.0,22,"2,041",0.0,0.0,2.0,7.0,0.0,0.3,0.3,1.5
Wesley Moraes,FW,Aston Villa,22.0,21,"1,782",5.0,5.0,1.0,3.0,0.0,6.4,5.5,1.0
