Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Pierre-Emerick Aubameyang,1,0,30,35,3136,22.0,20.0,3.0,3.0,1.0,14.7,13.2,3.3
David Luiz,3,0,32,32,2809,2.0,2.0,1.0,5.0,2.0,1.6,1.6,0.9
Granit Xhaka,2,0,26,30,2586,1.0,1.0,2.0,10.0,0.0,0.5,0.5,1.0
Nicolas Pépé,1,0,24,22,2010,5.0,4.0,6.0,4.0,0.0,4.9,4.1,4.8
Alexandre Lacazette,1,0,28,22,1874,10.0,10.0,4.0,8.0,0.0,8.1,8.1,2.9
Bukayo Saka,3,0,17,19,1753,1.0,1.0,5.0,6.0,0.0,1.0,1.0,3.3
Mattéo Guendouzi,2,0,20,19,1748,0.0,0.0,1.0,6.0,0.0,0.8,0.8,1.1
Sead Kolašinac,3,0,26,19,1701,0.0,0.0,2.0,4.0,0.0,0.4,0.4,1.3
Sokratis Papastathopoulos,3,0,31,19,1696,2.0,2.0,0.0,6.0,0.0,1.1,1.1,0.3
Dani Ceballos,2,0,22,18,1692,0.0,0.0,2.0,1.0,0.0,0.6,0.6,1.8
Mesut Özil,2,0,30,18,1438,1.0,1.0,2.0,1.0,0.0,1.4,1.4,2.3
Lucas Torreira,2,0,23,17,1512,1.0,1.0,1.0,7.0,0.0,1.4,1.4,0.8
Ainsley Maitland-Niles,3,0,21,15,1386,0.0,0.0,2.0,6.0,1.0,0.4,0.4,1.5
Shkodran Mustafi,3,0,27,13,1207,0.0,0.0,1.0,2.0,0.0,0.9,0.9,0.4
Héctor Bellerín,3,0,24,13,1158,1.0,1.0,0.0,2.0,0.0,0.4,0.4,0.4
Calum Chambers,3,0,24,13,1102,1.0,1.0,1.0,5.0,0.0,0.8,0.8,1.6
Kieran Tierney,3,0,22,12,989,1.0,1.0,1.0,2.0,0.0,0.2,0.2,1.0
Joe Willock,2,0,19,8,857,1.0,1.0,1.0,2.0,0.0,1.6,1.6,1.1
Eddie Nketiah,1,0,20,7,633,2.0,2.0,0.0,0.0,1.0,3.1,3.1,0.6
Reiss Nelson,1,0,19,7,631,1.0,1.0,0.0,1.0,0.0,0.9,0.9,0.4
Martinelli,1,0,18,6,663,3.0,3.0,0.0,1.0,0.0,2.2,2.2,0.1
