Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Bernd Leno,GK,Arsenal,28,35,"3,131",0,0,0,0,1,0.0,0.0,0.0
Bukayo Saka,"FW,MF",Arsenal,18,30,"2,553",5,5,3,1,0,6.9,6.9,4.4
Granit Xhaka,"MF,DF",Arsenal,27,29,"2,522",1,1,2,7,1,0.9,0.9,1.5
Rob Holding,DF,Arsenal,24,28,"2,558",0,0,1,2,0,1.0,1.0,0.2
Pierre-Emerick Aubameyang,FW,Arsenal,31,26,"2,332",10,8,3,2,0,10.2,8.6,2.4
Kieran Tierney,DF,Arsenal,23,26,"2,299",1,1,3,4,0,0.5,0.5,3.5
Héctor Bellerín,"DF,MF",Arsenal,25,24,"2,089",1,1,2,8,0,0.8,0.8,2.4
Gabriel Dos Santos,DF,Arsenal,22,22,"1,996",2,2,0,4,1,1.3,1.3,0.1
Alexandre Lacazette,FW,Arsenal,29,22,"1,923",13,10,2,3,0,11.7,9.3,2.2
Thomas Partey,MF,Arsenal,27,18,"1,534",0,0,2,5,0,1.3,1.3,1.0
Emile Smith Rowe,"MF,FW",Arsenal,20,18,"1,440",2,2,4,0,0,1.8,1.8,3.4
Dani Ceballos,MF,Arsenal,23,17,"1,615",0,0,3,4,0,0.6,0.6,2.6
Mohamed Elneny,MF,Arsenal,28,17,"1,544",1,1,0,3,0,0.4,0.4,0.2
David Luiz,DF,Arsenal,33,17,"1,396",1,1,0,1,1,0.9,0.9,0.5
Nicolas Pépé,FW,Arsenal,25,16,"1,616",10,9,1,1,1,5.8,5.0,1.0
Willian,FW,Arsenal,31,16,"1,406",1,1,5,0,0,1.9,1.9,3.0
Pablo Marí,DF,Arsenal,26,10,900,0,0,0,2,0,0.1,0.1,0.3
Martin Ødegaard,MF,Arsenal,21,9,866,1,1,2,0,0,0.7,0.7,2.0
Calum Chambers,DF,Arsenal,25,8,753,0,0,2,0,0,0.4,0.4,1.1
Cédric Soares,DF,Arsenal,28,8,746,0,0,1,1,0,0.3,0.3,0.9
Martinelli,FW,Arsenal,19,7,589,2,2,1,0,0,3.3,3.3,1.8
Ainsley Maitland-Niles,"MF,DF",Arsenal,22,5,490,0,0,0,0,0,0.1,0.1,0.1
Eddie Nketiah,FW,Arsenal,21,4,423,2,2,1,0,0,1.8,1.8,0.6
Mathew Ryan,GK,Arsenal,28,3,270,0,0,0,0,0,0.0,0.0,0.1
Joe Willock,MF,Arsenal,20,2,238,0,0,0,1,0,0.3,0.3,0.1
Sead Kolašinac,DF,Arsenal,27,1,90,0,0,0,0,0,0.0,0.0,0.0
Reiss Nelson,"FW,MF",Arsenal,20,0,71,0,0,0,0,0,0.1,0.1,0.0
Shkodran Mustafi,DF,Arsenal,28,0,47,0,0,0,0,0,0.0,0.0,0.0
